2025-07-19 12:45:18,285 - __main__ - INFO - Starting PDF Outline Extractor
2025-07-19 12:45:18,286 - __main__ - INFO - Found 1 PDF files to process.
2025-07-19 12:45:18,287 - __main__ - INFO - Processing file: sample.pdf
2025-07-19 12:45:18,287 - extractor.pdf_parser - DEBUG - Starting to parse PDF: C:\Users\shrav\Downloads\project-bolt-sb1-uu5dcyx9\project\input\sample.pdf
2025-07-19 12:45:18,290 - extractor.pdf_parser - DEBUG - PDF has 17 pages
2025-07-19 12:45:18,437 - pdfminer.psparser - DEBUG - seek: 0
2025-07-19 12:45:18,438 - pdfminer.pdfdocument - DEBUG - find_xref: b''
2025-07-19 12:45:18,438 - pdfminer.pdfdocument - DEBUG - find_xref: b'%%EOF'
2025-07-19 12:45:18,440 - pdfminer.pdfdocument - DEBUG - find_xref: b'5179464'
2025-07-19 12:45:18,440 - pdfminer.pdfdocument - DEBUG - find_xref: b'startxref'
2025-07-19 12:45:18,550 - pdfminer.psparser - DEBUG - nextline: 5181895, b'0001708191 00000 n \n'
2025-07-19 12:45:18,551 - pdfminer.psparser - DEBUG - nextline: 5181915, b'0001709470 00000 n \n'
2025-07-19 12:45:18,552 - pdfminer.psparser - DEBUG - nextline: 5181935, b'0001700210 00000 n \n'
2025-07-19 12:45:18,553 - pdfminer.psparser - DEBUG - nextline: 5181955, b'0001698982 00000 n \n'
2025-07-19 12:45:18,554 - pdfminer.psparser - DEBUG - nextline: 5181975, b'0001699470 00000 n \n'
2025-07-19 12:45:18,556 - pdfminer.psparser - DEBUG - nextline: 5181995, b'0001699964 00000 n \n'
2025-07-19 12:45:18,557 - pdfminer.psparser - DEBUG - nextline: 5182015, b'0001699717 00000 n \n'
2025-07-19 12:45:18,558 - pdfminer.psparser - DEBUG - nextline: 5182035, b'0001708312 00000 n \n'
2025-07-19 12:45:18,558 - pdfminer.psparser - DEBUG - nextline: 5182055, b'0001699346 00000 n \n'
2025-07-19 12:45:18,559 - pdfminer.psparser - DEBUG - nextline: 5182075, b'0001698194 00000 n \n'
2025-07-19 12:45:18,560 - pdfminer.psparser - DEBUG - nextline: 5182095, b'0001708251 00000 n \n'
2025-07-19 12:45:18,561 - pdfminer.psparser - DEBUG - nextline: 5182115, b'0001708859 00000 n \n'
2025-07-19 12:45:18,562 - pdfminer.psparser - DEBUG - nextline: 5182135, b'0000618872 00000 n \n'
2025-07-19 12:45:18,563 - pdfminer.psparser - DEBUG - nextline: 5182155, b'0000617279 00000 n \n'
2025-07-19 12:45:18,564 - pdfminer.psparser - DEBUG - nextline: 5182175, b'0000617443 00000 n \n'
2025-07-19 12:45:18,565 - pdfminer.psparser - DEBUG - nextline: 5182195, b'0000617597 00000 n \n'
2025-07-19 12:45:18,566 - pdfminer.psparser - DEBUG - nextline: 5182215, b'0000617761 00000 n \n'
2025-07-19 12:45:18,567 - pdfminer.psparser - DEBUG - nextline: 5182235, b'0000617924 00000 n \n'
2025-07-19 12:45:18,568 - pdfminer.psparser - DEBUG - nextline: 5182255, b'0000618078 00000 n \n'
2025-07-19 12:45:18,568 - pdfminer.psparser - DEBUG - nextline: 5182275, b'0000618230 00000 n \n'
2025-07-19 12:45:18,569 - pdfminer.psparser - DEBUG - nextline: 5182295, b'0000618383 00000 n \n'
2025-07-19 12:45:18,571 - pdfminer.psparser - DEBUG - nextline: 5182315, b'0000618554 00000 n \n'
2025-07-19 12:45:18,573 - pdfminer.psparser - DEBUG - nextline: 5182335, b'0000618722 00000 n \n'
2025-07-19 12:45:18,573 - pdfminer.psparser - DEBUG - nextline: 5182355, b'0000868018 00000 n \n'
2025-07-19 12:45:18,574 - pdfminer.psparser - DEBUG - nextline: 5182375, b'0000619489 00000 n \n'
2025-07-19 12:45:18,575 - pdfminer.psparser - DEBUG - nextline: 5182395, b'0000398313 00000 n \n'
2025-07-19 12:45:18,575 - pdfminer.psparser - DEBUG - nextline: 5182415, b'0000393358 00000 n \n'
2025-07-19 12:45:18,576 - pdfminer.psparser - DEBUG - nextline: 5182435, b'0000618933 00000 n \n'
2025-07-19 12:45:18,577 - pdfminer.psparser - DEBUG - nextline: 5182455, b'0005171039 00000 n \n'
2025-07-19 12:45:18,578 - pdfminer.psparser - DEBUG - nextline: 5182475, b'0005171469 00000 n \n'
2025-07-19 12:45:18,579 - pdfminer.psparser - DEBUG - nextline: 5182495, b'0000618994 00000 n \n'
2025-07-19 12:45:18,580 - pdfminer.psparser - DEBUG - nextline: 5182515, b'0005171755 00000 n \n'
2025-07-19 12:45:18,581 - pdfminer.psparser - DEBUG - nextline: 5182535, b'0005171183 00000 n \n'
2025-07-19 12:45:18,582 - pdfminer.psparser - DEBUG - nextline: 5182555, b'0000619056 00000 n \n'
2025-07-19 12:45:18,582 - pdfminer.psparser - DEBUG - nextline: 5182575, b'0005000500 00000 n \n'
2025-07-19 12:45:18,584 - pdfminer.psparser - DEBUG - nextline: 5182595, b'0000619117 00000 n \n'
2025-07-19 12:45:18,584 - pdfminer.psparser - DEBUG - nextline: 5182615, b'0000619179 00000 n \n'
2025-07-19 12:45:18,585 - pdfminer.psparser - DEBUG - nextline: 5182635, b'0005172180 00000 n \n'
